Column,Mean,Median,Mode,Minimum,Maximum,Variance,Std_Deviation,Skewness,Kurtosis,IQR,Outlier_Count
CLIENTNUM,739177606.33,717926358.0,708082083.0,708082083.0,828343083.0,1361889232941554.5,36903783.45,1.0,-0.62,60106762.5,0
Customer_Age,46.33,46.0,44.0,26.0,73.0,64.27,8.02,-0.03,-0.29,11.0,2
Dependent_count,2.35,2.0,3.0,0.0,5.0,1.69,1.3,-0.02,-0.68,2.0,0
Months_on_book,35.93,36.0,36.0,13.0,56.0,63.78,7.99,-0.11,0.4,9.0,386
Total_Relationship_Count,3.81,4.0,3.0,1.0,6.0,2.42,1.55,-0.16,-1.01,2.0,0
Months_Inactive_12_mon,2.34,2.0,3.0,0.0,6.0,1.02,1.01,0.63,1.1,1.0,331
Contacts_Count_12_mon,2.46,2.0,3.0,0.0,6.0,1.22,1.11,0.01,0.0,1.0,629
Credit_Limit,8631.95,4549.0,34516.0,1438.3,34516.0,82605861.0,9088.78,1.67,1.81,8512.5,984
Total_Revolving_Bal,1162.81,1276.0,0.0,0.0,2517.0,664204.36,814.99,-0.15,-1.15,1425.0,0
Avg_Open_To_Buy,7469.14,3474.0,1438.3,3.0,34516.0,82640559.65,9090.69,1.66,1.8,8534.5,963
Total_Amt_Chng_Q4_Q1,0.76,0.74,0.791,0.0,3.397,0.05,0.22,1.73,9.99,0.23,396
Total_Trans_Amt,4404.09,3899.0,4253.0,510.0,18484.0,11540487.17,3397.13,2.04,3.89,2585.5,896
Total_Trans_Ct,64.86,67.0,81.0,10.0,139.0,550.96,23.47,0.15,-0.37,36.0,2
Total_Ct_Chng_Q4_Q1,0.71,0.7,0.667,0.0,3.714,0.06,0.24,2.06,15.69,0.24,394
Avg_Utilization_Ratio,0.27,0.18,0.0,0.0,0.999,0.08,0.28,0.72,-0.79,0.48,0
